KEY,ENGLISH,NOTES,GERMAN,FRENCH,ITALIAN,SPANISH,PORTUGUESE,PORTUGUESE BR,POLISH,RUSSIAN,TURKISH,DANISH,DUTCH,SWEDISH,NORWEGIAN,HUNGARIAN,FINNISH,JAPANESE,SIMPLIFIED CHINESE,KOREAN

ACTION.DRINK_FROM_RIVER,from river,,vom Fluss,,dal fiume,del río,,,,из реки,,fra flod,,,,,,川の水,河水,
ACTION.JOB.BUTCHER_CREATURE,Butchering,,Schlachtet,,Macellazione,Despiezando,,,,Разделка мяса,,Slagter,,,,,,屠殺している,屠宰,
ACTION.JOB.CLEAR_GROUND,Clearing {{targetPlant}},,Entfernt {{plantDescription}},Arrache: {{plantDescription}},Sta rimuovendo: {{plantDescription}},Quitando {{plantDescription}},Limpar {{plantDescription}},Retirando {{targetPlant}},,Расчистка {{plantDescription}},{{plantDescription}} temizleniyor,Rydder {{targetPlant},,Rensa {{plantDescription}},,,,{{targetPlant}}を伐採している,正在清除{{targetPlant}},
ACTION.JOB.CONSTRUCT_FLOORING,Laying floor,,Boden verlegen,,Posa pavimento,Poniendo el suelo,,,,Укладка пола,,Lægger gulv,,,,,,床を敷いている,正在铺设地板,
ACTION.JOB.CONSTRUCT_FURNITURE,{{profession.verb}} {{targetDescription}},,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},,"Изготовление мебели: {{profession.verb}} ",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},,{{profession.verb}} {{targetDescription}},,,,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},
ACTION.JOB.CONSTRUCT_MECHANISM,Placing mechanisms,,Mechaniken platzieren,,Piazza meccanismi,Colocando mecanismo,,,,Размещение механизмов,,Placerer mekanismer,,,,,,器械を設置している,正在安放机械装置,
ACTION.JOB.CONSTRUCT_PIPING,Placing pipe,,Rohr platzieren,,Piazza tubo,Polocando tuberías,,,,Установка труб,,Placerer rør,,,,,,配管を設置している,铺设管道,
ACTION.JOB.CONSTRUCT_ROOFING,Constructing roof,,Baut Dach,,Costruzione del tetto,Construyendo el tejado,,,,Соорожение крыши,,Bygger tag,,,,,,屋根を設置している,建造屋顶,
ACTION.JOB.CREATE_GENERIC,Producing {{targetDescription}},,Produziert {{targetDescription}},Production de {{targetDescription}},Produzione di {{targetDescription}},Produciendo {{targetDescription}},Produzindo {{targetDescription}},,,Производство {{targetDescription}},{{targetDescription}} üretiliyor,Producerer {{targetDescription}},,Producerar {{targetDescription}},,,,{{targetDescription}}を作成している,正在生产{{targetDescription}},
ACTION.JOB.DECONSTRUCT,Removing {{targetDescription}},,Baut {{targetDescription}} ab,Retire: {{targetDescription}},Sta rimuovendo: {{targetDescription}},Quitando {{targetDescription}},A remover {{targetDescription}},Removendo {{targetDescription}},,Удаление: {{targetDescription}},{{targetDescription}} kaldırılıyor,Fjerner {{targetDescription}},,Ta bort {{targetDescription}},,,,{{targetDescription}} を削除している,正在移除{{targetDescription}},
ACTION.JOB.DECONSTRUCT_MECHANISM,Removing mechanism,,Entfernt Mechaniken,,Rimuovi meccanismi,Quitando mecanismo,,,,Удаление механизмов,,Fjerner mekanisme,,,,,,器械を削除している,正在移除机械装置,
ACTION.JOB.DECONSTRUCT_PIPING,Removing pipe,,Entfernt Rohre,,Rimuovi tubo,Quitando tuberías,,,,Удаление труб,,Fjerner rør,,,,,,配管を削除している,移除管道,
ACTION.JOB.DECONSTRUCT_ROOFING,Removing roof,,Entfernt Dach,,Rimuivi tetto,Quitando el tejado,,,,Удаление крыши,,Fjerner tag,,,,,,屋根を削除している,移除屋顶,
ACTION.JOB.DIGGING,Digging {{targetDescription}},,Gräbt {{targetDescription}},Creuse {{targetDescription}},Scavare {{targetDescription}},Excavando {{targetDescription}},Cavando {{targetDescription}},,,Копание {{targetDescription}},{{targetDescription}} kazılıyor,Graver {{targetDescription}},,Gräva {{targetDescription},,,,{{targetDescription}}を掘削している,正在挖掘{{targetDescription}},
ACTION.JOB.DUMP_LIQUID_FROM_CONTAINER,Emptying out contents of {{targetDescription}},,Entleeren des Inhalts von {{targetDescription}},,Svuotare il contenuto di {{targetDescription}},Vaciando {{targetDescription}},,,,"Опорожнение содержимого {{targetDescription}} ",,Tømmer indhold af {{targetDescription}},,,,,,{{targetDescription}}を空にしている,正在清空{{targetDescription}},
ACTION.JOB.EXTINGUISH_FLAMES,Putting out a fire,,Löscht ein Feuer,,Spegnere un fuoco,Apagando incendio,,,,Тушение огоня,,Slukker ild,,,,,,消火している,正在灭火,
ACTION.JOB.FILL_GRAVE,Filling {{targetDescription}},,Füllt {{targetDescription}},Rempli {{targetDescription}},Riempimento {{targetDescription}},Rellenando {{targetDescription}},Preenchimento {{targetDescription}},,,Заполнение {{targetDescription}},{{targetDescription}} dolduruluyor,Fylder {{targetDescription}},,Fyllning {{targetDescription},,,,を埋めている,正在填埋{{targetDescription}},
