KEY,NOTES,ENGLISH,DANISH

ACTION.DRINK_FROM_RIVER,,from river,fra flod
ACTION.JOB.BUTCHER_CREATURE,,Butchering,Slagter
ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},Rydder {{targetPlant}
ACTION.JOB.CONSTRUCT_FLOORING,,Laying floor,Lægger gulv
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.CONSTRUCT_MECHANISM,,Placing mechanisms,Placerer mekanismer
ACTION.JOB.CONSTRUCT_PIPING,,Placing pipe,Placerer rør
ACTION.JOB.CONSTRUCT_ROOFING,,Constructing roof,Bygger tag
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},Producerer {{targetDescription}}
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},Fjerner {{targetDescription}}
ACTION.JOB.DECONSTRUCT_MECHANISM,,Removing mechanism,Fjerner mekanisme
ACTION.JOB.DECONSTRUCT_PIPING,,Removing pipe,Fjerner rør
ACTION.JOB.DECONSTRUCT_ROOFING,,Removing roof,Fjerner tag
ACTION.JOB.DIGGING,,Digging {{targetDescription}},Graver {{targetDescription}}
ACTION.JOB.DUMP_LIQUID_FROM_CONTAINER,For emptying the liquid contents out of a container,Emptying out contents of {{targetDescription}},Tømmer indhold af {{targetDescription}}
ACTION.JOB.EXTINGUISH_FLAMES,,Putting out a fire,Slukker ild
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},Fylder {{targetDescription}}
ACTION.JOB.FISHING,,Fishing,Fisker
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},Høster {{targetPlant}}
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,Indsprøjter svampesporer
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}},Planter {{requiredItem}}
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},Fjerner skadedyr fra {{targetPlant}}
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},Graver {{targetDescription}}
ACTION.JOB.TILLING,,Tilling the earth,Pløjer jorden
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},Fylder {{targetDescription}}
ACTION.KNOCKED_UNCONSCIOUS,,Knocked unconscious,Slået bevidstløs
ACTION.MALTING.VERB,,Malting,Malter
ACTION.PREPARATION.VERB,,Preparing,Forbereder
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,Leder efter arbejde
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},Sover på {{tileDescription}}
ACTION.STUNNED,,Stunned,Lammet

ARMOUR.LEATHER,,Leather armour,Læderrustning
ARMOUR.LEATHER.TOOLTIP,,A light and basic armour to protect you in combat,"En let og simpel rustning, beregnet til at beskytte dig i kamp"
ARMOUR.ORC.HEAVY,,Orc armour,Orkrustning
ARMOUR.ORC.LIGHT,,Leather orc armour,Ork læderrustning
ARMOUR.PLATE,,Plate armour,Pladerustning
ARMOUR.PLATE.TOOLTIP,,Thick and sturdy armour which offers a lot of protection in combat,"Tyk og hårdfør rustning, som giver meget beskyttelse i kamp"

ASHES.NOUN,,Ash,Aske

BODY_STRUCTURE.ABDOMEN,,Abdomen,Mave
BODY_STRUCTURE.ARM,,Arm,Arm
BODY_STRUCTURE.CEPHALOTHORAX,,Cephalothorax,Cephalothorax
BODY_STRUCTURE.DAMAGE.BLEEDING,,Bleeding,Bløder
BODY_STRUCTURE.DAMAGE.BROKENBONES,,Broken,Brækket
BODY_STRUCTURE.DAMAGE.BRUISED,,Bruised,Forslået
BODY_STRUCTURE.DAMAGE.DESTROYED,,Destroyed,Ødelagt
BODY_STRUCTURE.DAMAGE.NOT_INJURED,,Not Injured,Ikke tilskadekommen
BODY_STRUCTURE.DISCRIMINATOR.BACKLEFT,,Rear left,Bagerst til venstre
BODY_STRUCTURE.DISCRIMINATOR.BACKRIGHT,,Rear right,Bagerst til højre
