KEY,NOTES,ENGLISH,FRENCH

ACTION.DRINK_FROM_RIVER,,from river,à la rivière
ACTION.JOB.BUTCHER_CREATURE,,Butchering,Découpe
ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},Arrache {{plantDescription}}
ACTION.JOB.CONSTRUCT_FLOORING,,Laying floor,Aménagement du sol
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.CONSTRUCT_MECHANISM,,Placing mechanisms,Place un mécanisme
ACTION.JOB.CONSTRUCT_PIPING,,Placing pipe,Place un tuyau
ACTION.JOB.CONSTRUCT_ROOFING,,Constructing roof,Construit un toit
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},Produit {{targetDescription}}
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},Retire {{targetDescription}}
ACTION.JOB.DECONSTRUCT_MECHANISM,,Removing mechanism,Retire un mécanisme
ACTION.JOB.DECONSTRUCT_PIPING,,Removing pipe,Retire un tuyau
ACTION.JOB.DECONSTRUCT_ROOFING,,Removing roof,Démonte un toit
ACTION.JOB.DIGGING,,Digging {{targetDescription}},Creuse {{targetDescription}}
ACTION.JOB.DUMP_LIQUID_FROM_CONTAINER,For emptying the liquid contents out of a container,Emptying out contents of {{targetDescription}},Vide le contenu de {{targetDescription}}
ACTION.JOB.EXTINGUISH_FLAMES,,Putting out a fire,Eteind le feu
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},Rempli {{targetDescription}}
ACTION.JOB.FISHING,,Fishing,Pêche
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},Récolte {{targetPlant}}
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,Plantation de la champignonnière
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{profession.verb}}: {{targetPlant}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}},Plante {{requiredItem}}
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},Désinsectise {{targetPlant}}
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},Pelle {{targetDescription}}
ACTION.JOB.TILLING,,Tilling the earth,Laboure la terre
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},Rempli {{targetDescription}}
ACTION.KNOCKED_UNCONSCIOUS,,Knocked unconscious,Mis inconscient
ACTION.MALTING.VERB,,Malting,Brasse
ACTION.PREPARATION.VERB,,Preparing,Prépare
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,Cherche quoi faire
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},Dors sur {{tileDescription}}
ACTION.STUNNED,,Stunned,Assomé

ARMOUR.LEATHER,,Leather armour,Armure de cuir
ARMOUR.LEATHER.TOOLTIP,,A light and basic armour to protect you in combat,Une armure de cuir légère pour vous protéger au combat
ARMOUR.ORC.HEAVY,,Orc armour,Armure d'orc
ARMOUR.ORC.LIGHT,,Leather orc armour,Armure d'orc en cuir
ARMOUR.PLATE,,Plate armour,Armure de plaque
ARMOUR.PLATE.TOOLTIP,,Thick and sturdy armour which offers a lot of protection in combat,Une armure épaisse et résistante qui offre une grande protection au combat

ASHES.NOUN,,Ash,Cendre

BODY_STRUCTURE.ABDOMEN,,Abdomen,Abdomen
BODY_STRUCTURE.ARM,,Arm,Bras
BODY_STRUCTURE.CEPHALOTHORAX,,Cephalothorax,Cephalothorax
BODY_STRUCTURE.DAMAGE.BLEEDING,,Bleeding,Saignement
BODY_STRUCTURE.DAMAGE.BROKENBONES,,Broken,Cassé
BODY_STRUCTURE.DAMAGE.BRUISED,,Bruised,Meurtrie
BODY_STRUCTURE.DAMAGE.DESTROYED,,Destroyed,Détruit
BODY_STRUCTURE.DAMAGE.NOT_INJURED,,Not Injured,Sain
BODY_STRUCTURE.DISCRIMINATOR.BACKLEFT,,Rear left,Arrière gauche
BODY_STRUCTURE.DISCRIMINATOR.BACKRIGHT,,Rear right,Arrière droit
