KEY,NOTES,ENGLISH,GERMAN

ACTION.DRINK_FROM_RIVER,,from river,vom Fluss
ACTION.JOB.BUTCHER_CREATURE,,Butchering,Schlachtet
ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},Entfernt {{plantDescription}}
ACTION.JOB.CONSTRUCT_FLOORING,,Laying floor,Boden verlegen
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.CONSTRUCT_MECHANISM,,Placing mechanisms,Mechaniken platzieren
ACTION.JOB.CONSTRUCT_PIPING,,Placing pipe,Rohr platzieren
ACTION.JOB.CONSTRUCT_ROOFING,,Constructing roof,Baut Dach
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},Produziert {{targetDescription}}
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},Baut {{targetDescription}} ab
ACTION.JOB.DECONSTRUCT_MECHANISM,,Removing mechanism,Entfernt Mechaniken
ACTION.JOB.DECONSTRUCT_PIPING,,Removing pipe,Entfernt Rohre
ACTION.JOB.DECONSTRUCT_ROOFING,,Removing roof,Entfernt Dach
ACTION.JOB.DIGGING,,Digging {{targetDescription}},Gräbt {{targetDescription}}
ACTION.JOB.DUMP_LIQUID_FROM_CONTAINER,For emptying the liquid contents out of a container,Emptying out contents of {{targetDescription}},Entleeren des Inhalts von {{targetDescription}}
ACTION.JOB.EXTINGUISH_FLAMES,,Putting out a fire,Löscht ein Feuer
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},Füllt {{targetDescription}}
ACTION.JOB.FISHING,,Fishing,Angeln
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},Erntet {{targetPlant}}
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,Injiziert Pilzkultur
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}},Pflanzt {{requiredItem}}
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},Entfernt Schädlinge von {{targetPlant}}
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},Schaufelt {{targetDescription}}
ACTION.JOB.TILLING,,Tilling the earth,Bestellt das Feld
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},Füllt {{targetDescription}}
ACTION.KNOCKED_UNCONSCIOUS,,Knocked unconscious,Bewusstlos geschlagen
ACTION.MALTING.VERB,,Malting,Mälzt
ACTION.PREPARATION.VERB,,Preparing,Bereitet vor
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,Sucht Arbeit
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},Schläft auf {{tileDescription}}
ACTION.STUNNED,,Stunned,Betäubt

ARMOUR.LEATHER,,Leather armour,Lederrüstung
ARMOUR.LEATHER.TOOLTIP,,A light and basic armour to protect you in combat,"Eine leichte und einfache Rüstung, die im Kampf schützt"
ARMOUR.ORC.HEAVY,,Orc armour,Orkrüstung
ARMOUR.ORC.LIGHT,,Leather orc armour,Orklederrüstung
ARMOUR.PLATE,,Plate armour,Plattenrüstung
ARMOUR.PLATE.TOOLTIP,,Thick and sturdy armour which offers a lot of protection in combat,"Dicke und haltbare Rüstung, welche sehr guten Schutz im Kampf bietet"

ASHES.NOUN,,Ash,Asche

BODY_STRUCTURE.ABDOMEN,,Abdomen,Bauch
BODY_STRUCTURE.ARM,,Arm,Arm
BODY_STRUCTURE.CEPHALOTHORAX,,Cephalothorax,Vorderleib
BODY_STRUCTURE.DAMAGE.BLEEDING,,Bleeding,Blutet
BODY_STRUCTURE.DAMAGE.BROKENBONES,,Broken,Gebrochen
BODY_STRUCTURE.DAMAGE.BRUISED,,Bruised,Gequetscht
BODY_STRUCTURE.DAMAGE.DESTROYED,,Destroyed,Zerstört
BODY_STRUCTURE.DAMAGE.NOT_INJURED,,Not Injured,Unverletzt
BODY_STRUCTURE.DISCRIMINATOR.BACKLEFT,,Rear left,Hinten links
BODY_STRUCTURE.DISCRIMINATOR.BACKRIGHT,,Rear right,Hinten rechts
BODY_STRUCTURE.DISCRIMINATOR.FIRSTLEFT,,First left,Erste links
BODY_STRUCTURE.DISCRIMINATOR.FIRSTRIGHT,,First right,Erste rechts
BODY_STRUCTURE.DISCRIMINATOR.FOURTHLEFT,,Fourth left,Vierte links
BODY_STRUCTURE.DISCRIMINATOR.FOURTHRIGHT,,Fourth right,Vierte rechts
BODY_STRUCTURE.DISCRIMINATOR.FRONTLEFT,,Front left,Vorne links
BODY_STRUCTURE.DISCRIMINATOR.FRONTRIGHT,,Front right,Vorne rechts
BODY_STRUCTURE.DISCRIMINATOR.LEFT,,Left,Links
BODY_STRUCTURE.DISCRIMINATOR.RIGHT,,Right,Rechts
BODY_STRUCTURE.DISCRIMINATOR.SECONDLEFT,,Second left,Zweite links
BODY_STRUCTURE.DISCRIMINATOR.SECONDRIGHT,,Second right,Zweite rechts
BODY_STRUCTURE.DISCRIMINATOR.THIRDLEFT,,Third left,Dritte links
BODY_STRUCTURE.DISCRIMINATOR.THIRDRIGHT,,Third right,Dritte rechts
BODY_STRUCTURE.FOOT,,Foot,Fuß
BODY_STRUCTURE.HAND,,Hand,Hand
BODY_STRUCTURE.HEAD,,Head,Kopf
BODY_STRUCTURE.HOOF,,Hoof,Huf
BODY_STRUCTURE.LEFT-ARM,,Left arm,Linker Arm
