KEY,NOTES,ENGLISH,ITALIAN

ACTION.DRINK_FROM_RIVER,,from river,dal fiume
ACTION.JOB.BUTCHER_CREATURE,,Butchering,Macellazione
ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},Sta rimuovendo: {{plantDescription}}
ACTION.JOB.CONSTRUCT_FLOORING,,Laying floor,Posa pavimento
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.CONSTRUCT_MECHANISM,,Placing mechanisms,Piazza meccanismi
ACTION.JOB.CONSTRUCT_PIPING,,Placing pipe,Piazza tubo
ACTION.JOB.CONSTRUCT_ROOFING,,Constructing roof,Costruzione del tetto
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},Produzione di {{targetDescription}}
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},Sta rimuovendo: {{targetDescription}}
ACTION.JOB.DECONSTRUCT_MECHANISM,,Removing mechanism,Rimuovi meccanismi
ACTION.JOB.DECONSTRUCT_PIPING,,Removing pipe,Rimuovi tubo
ACTION.JOB.DECONSTRUCT_ROOFING,,Removing roof,Rimuivi tetto
ACTION.JOB.DIGGING,,Digging {{targetDescription}},Scavare {{targetDescription}}
ACTION.JOB.DUMP_LIQUID_FROM_CONTAINER,For emptying the liquid contents out of a container,Emptying out contents of {{targetDescription}},Svuotare il contenuto di {{targetDescription}}
ACTION.JOB.EXTINGUISH_FLAMES,,Putting out a fire,Spegnere un fuoco
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},Riempimento {{targetDescription}}
ACTION.JOB.FISHING,,Fishing,Pesca
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},Sta raccogliendo: {{targetPlant}}
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,Iniezione delle uova di funghi
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{profession.verb}}: {{targetPlant}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}},Sta piantando: {{requiredItem}}
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},Sta disinfestando: {{targetPlant}}
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},Spalatura {{targetDescription}}
ACTION.JOB.TILLING,,Tilling the earth,Sta arando il terreno
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},Sta riempiendo: {{targetDescription}}
ACTION.KNOCKED_UNCONSCIOUS,,Knocked unconscious,Ha perso i sensi
ACTION.MALTING.VERB,,Malting,Maltare
ACTION.PREPARATION.VERB,,Preparing,Mi sto preparando
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,Sta cercando qualcosa da fare
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},Sta dormendo su: {{tileDescription}}
ACTION.STUNNED,,Stunned,Stordito

ARMOUR.LEATHER,,Leather armour,Armatura in pelle
ARMOUR.LEATHER.TOOLTIP,,A light and basic armour to protect you in combat,Un'armatura leggera e di base per proteggersi in combattimento.
ARMOUR.ORC.HEAVY,,Orc armour,Armatura da orco
ARMOUR.ORC.LIGHT,,Leather orc armour,Armatura da orco in pelle
ARMOUR.PLATE,,Plate armour,Armatura a piastre
ARMOUR.PLATE.TOOLTIP,,Thick and sturdy armour which offers a lot of protection in combat,Armatura spessa e robusta che offre molta protezione in combattimento.

ASHES.NOUN,,Ash,Cenere

BODY_STRUCTURE.ABDOMEN,,Abdomen,Addome
BODY_STRUCTURE.ARM,,Arm,Braccio
BODY_STRUCTURE.CEPHALOTHORAX,,Cephalothorax,Cefalotorace
BODY_STRUCTURE.DAMAGE.BLEEDING,,Bleeding,Sanguinamento
BODY_STRUCTURE.DAMAGE.BROKENBONES,,Broken,Ossa rotte
BODY_STRUCTURE.DAMAGE.BRUISED,,Bruised,Ferito
BODY_STRUCTURE.DAMAGE.DESTROYED,,Destroyed,Distrutto
BODY_STRUCTURE.DAMAGE.NOT_INJURED,,Not Injured,Non ferito
BODY_STRUCTURE.DISCRIMINATOR.BACKLEFT,,Rear left,Posteriore sinistro
BODY_STRUCTURE.DISCRIMINATOR.BACKRIGHT,,Rear right,Posteriore destro
BODY_STRUCTURE.DISCRIMINATOR.FIRSTLEFT,,First left,Prima sinistra
BODY_STRUCTURE.DISCRIMINATOR.FIRSTRIGHT,,First right,Prima destra
BODY_STRUCTURE.DISCRIMINATOR.FOURTHLEFT,,Fourth left,Quarta sinistra
BODY_STRUCTURE.DISCRIMINATOR.FOURTHRIGHT,,Fourth right,Quarta destra
BODY_STRUCTURE.DISCRIMINATOR.FRONTLEFT,,Front left,Anteriore sinistro
BODY_STRUCTURE.DISCRIMINATOR.FRONTRIGHT,,Front right,Anteriore destro
BODY_STRUCTURE.DISCRIMINATOR.LEFT,,Left,Sinistra
BODY_STRUCTURE.DISCRIMINATOR.RIGHT,,Right,Destra
BODY_STRUCTURE.DISCRIMINATOR.SECONDLEFT,,Second left,Seconda sinistra
BODY_STRUCTURE.DISCRIMINATOR.SECONDRIGHT,,Second right,Seconda destra
BODY_STRUCTURE.DISCRIMINATOR.THIRDLEFT,,Third left,Terza sinistra
BODY_STRUCTURE.DISCRIMINATOR.THIRDRIGHT,,Third right,Terza destra
BODY_STRUCTURE.FOOT,,Foot,Piede
BODY_STRUCTURE.HAND,,Hand,Mano
BODY_STRUCTURE.HEAD,,Head,Testa
BODY_STRUCTURE.HOOF,,Hoof,Zoccolo
BODY_STRUCTURE.LEFT-ARM,,Left arm,Braccio sinistro
BODY_STRUCTURE.LEFT-HAND,,Left hand,Mano sinistra
BODY_STRUCTURE.LEG,,Leg,Gamba
BODY_STRUCTURE.ORGAN.BRAIN,,Brain,Cervello
BODY_STRUCTURE.ORGAN.EYE,,Eye,Occhio
BODY_STRUCTURE.ORGAN.HEART,,Heart,Cuore
BODY_STRUCTURE.ORGAN.INTESTINES,,Intestines,Intestino
BODY_STRUCTURE.ORGAN.KIDNEY,,Kidney,Rene
BODY_STRUCTURE.ORGAN.LUNG,,Lung,Polmone
BODY_STRUCTURE.ORGAN_DAMAGE.DESTROYED,,Destroyed,Distrutto
BODY_STRUCTURE.ORGAN_DAMAGE.HEAVY,,Heavy damage to,Danni pesanti a
BODY_STRUCTURE.ORGAN_DAMAGE.LIGHT,,Light damage to,Danno leggero a
BODY_STRUCTURE.PAW,,Paw,Zampa
BODY_STRUCTURE.RIGHT-ARM,,Right arm,Braccio destro
BODY_STRUCTURE.RIGHT-HAND,,Right hand,Mano destra
BODY_STRUCTURE.TORSO,,Chest,Torso
BODY_STRUCTURE.TRUNK,,Trunk,Busto

BONE.BONE,,Bone,Osso

CARCASS.CARP.PREPARED.NOUN,,Carp fillet,Filetto di carpa
CARCASS.CARP.PREPARED.PLURAL,,Carp fillets,Filetti di carpa
CARCASS.GROUP,,Corpses,Cadaveri
CARCASS.HIDE.NOUN,,Hide,Nascosta
CARCASS.HIDE.PLURAL,,Hides,Nascoste
CARCASS.MEAT.LARGE,,Meat (large),Carne (grande)
CARCASS.MEAT.MEDIUM,,Meat (medium),Carne (medio)
CARCASS.MEAT.SMALL,,Meat (small),Carne (piccolo)
CARCASS.PERCH.PREPARED.NOUN,,Perch fillet,Filetto di pesce persico
CARCASS.PERCH.PREPARED.PLURAL,,Perch fillets,Filetti di pesce persico
CARCASS.PIKE.PREPARED.NOUN,,Pike fillet,Filetto di luccio
CARCASS.PIKE.PREPARED.PLURAL,,Pike fillets,Filetti di luccio

CLOTH.BRONZED_HEMP,,Hemp,"Canapa bronzata				 "
CLOTH.HEMP-LINEN,,Hemp,Canapa-Lino
CLOTH.LIGHT_HEMP,,Hemp,Canapa leggera
CLOTH.TOBACCO_CLOTH,,Tobacco cloth,"Panno di tabacco				   "

COMBAT.DESCRIPTION.FLEEING,,Fleeing from combat,Fuggire dal combattimento
COMBAT.DESCRIPTION.GENERIC,,In combat,In combattimento
COMBAT.DESCRIPTION.VERSUS_OPPONENT,,In combat with {{targetDescription}},In combattimento con {{targetDescription}}

CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},Costruzione di: {{furnitureType.noun}} {{materialType.adjective}}
CONSTRUCTION.REQUIREMENT_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{numRequired}} required{{\n}}{{numAvailable}} available{{\n}}{{numAssigned}} assigned,{{numRequired}} richiesto{{n}}{{numAvailable}} disponibile{{n}}{{numAssigned}} assegnato
