KEY,NOTES,ENGLISH,JAPANESE

ACTION.DRINK_FROM_RIVER,,from river,川の水
ACTION.JOB.BUTCHER_CREATURE,,Butchering,屠殺している
ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},{{targetPlant}}を伐採している
ACTION.JOB.CONSTRUCT_FLOORING,,Laying floor,床を敷いている
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.CONSTRUCT_MECHANISM,,Placing mechanisms,器械を設置している
ACTION.JOB.CONSTRUCT_PIPING,,Placing pipe,配管を設置している
ACTION.JOB.CONSTRUCT_ROOFING,,Constructing roof,屋根を設置している
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},{{targetDescription}}を作成している
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},{{targetDescription}} を削除している
ACTION.JOB.DECONSTRUCT_MECHANISM,,Removing mechanism,器械を削除している
ACTION.JOB.DECONSTRUCT_PIPING,,Removing pipe,配管を削除している
ACTION.JOB.DECONSTRUCT_ROOFING,,Removing roof,屋根を削除している
ACTION.JOB.DIGGING,,Digging {{targetDescription}},{{targetDescription}}を掘削している
ACTION.JOB.DUMP_LIQUID_FROM_CONTAINER,For emptying the liquid contents out of a container,Emptying out contents of {{targetDescription}},{{targetDescription}}を空にしている
ACTION.JOB.EXTINGUISH_FLAMES,,Putting out a fire,消火している
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},を埋めている
ACTION.JOB.FISHING,,Fishing,釣りをしている
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},{{targetPlant}}を収穫している
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,キノコの胞子を注入している
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}},{{requiredItem}}を植えている
