KEY,NOTES,ENGLISH,RUSSIAN

ACTION.DRINK_FROM_RIVER,,from river,из реки
ACTION.JOB.BUTCHER_CREATURE,,Butchering,Разделка мяса
ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},Расчистка {{plantDescription}}
ACTION.JOB.CONSTRUCT_FLOORING,,Laying floor,Укладка пола
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},"Изготовление мебели: {{profession.verb}} "
ACTION.JOB.CONSTRUCT_MECHANISM,,Placing mechanisms,Размещение механизмов
ACTION.JOB.CONSTRUCT_PIPING,,Placing pipe,Установка труб
ACTION.JOB.CONSTRUCT_ROOFING,,Constructing roof,Соорожение крыши
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},Производство {{targetDescription}}
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},Удаление: {{targetDescription}}
ACTION.JOB.DECONSTRUCT_MECHANISM,,Removing mechanism,Удаление механизмов
ACTION.JOB.DECONSTRUCT_PIPING,,Removing pipe,Удаление труб
ACTION.JOB.DECONSTRUCT_ROOFING,,Removing roof,Удаление крыши
ACTION.JOB.DIGGING,,Digging {{targetDescription}},Копание {{targetDescription}}
ACTION.JOB.DUMP_LIQUID_FROM_CONTAINER,For emptying the liquid contents out of a container,Emptying out contents of {{targetDescription}},"Опорожнение содержимого {{targetDescription}} "
ACTION.JOB.EXTINGUISH_FLAMES,,Putting out a fire,Тушение огоня
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},Заполнение {{targetDescription}}
ACTION.JOB.FISHING,,Fishing,Рыбалка
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},Изготовление деревянных досок {{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},Сбор урожая: {{targetPlant}}
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,Введение грибных спор
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}},Посадка: {{requiredItem}}
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},Удаление вредителей из: {{targetPlant}}
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},Перекапывание{{targetDescription}}
ACTION.JOB.TILLING,,Tilling the earth,Возделывание земли
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},Заполнение: {{targetDescription}}
ACTION.KNOCKED_UNCONSCIOUS,,Knocked unconscious,Потерял сознание
ACTION.MALTING.VERB,,Malting,Соложение
ACTION.PREPARATION.VERB,,Preparing,Подготовка
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,Поиск работы которую нужно сделать
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},Спящий на: {{tileDescription}}
ACTION.STUNNED,,Stunned,Ошеломленный

ARMOUR.LEATHER,,Leather armour,
ARMOUR.LEATHER.TOOLTIP,,A light and basic armour to protect you in combat,
ARMOUR.ORC.HEAVY,,Orc armour,
ARMOUR.ORC.LIGHT,,Leather orc armour,
ARMOUR.PLATE,,Plate armour,
ARMOUR.PLATE.TOOLTIP,,Thick and sturdy armour which offers a lot of protection in combat,

ASHES.NOUN,,Ash,Пепел

BODY_STRUCTURE.ABDOMEN,,Abdomen,Брюшная полость
BODY_STRUCTURE.ARM,,Arm,Рука
BODY_STRUCTURE.CEPHALOTHORAX,,Cephalothorax,
BODY_STRUCTURE.DAMAGE.BLEEDING,,Bleeding,Кровотечение
BODY_STRUCTURE.DAMAGE.BROKENBONES,,Broken,Сломанный
BODY_STRUCTURE.DAMAGE.BRUISED,,Bruised,Ушибленный
BODY_STRUCTURE.DAMAGE.DESTROYED,,Destroyed,Уничтоженный
BODY_STRUCTURE.DAMAGE.NOT_INJURED,,Not Injured,
BODY_STRUCTURE.DISCRIMINATOR.BACKLEFT,,Rear left,Задний нижний
BODY_STRUCTURE.DISCRIMINATOR.BACKRIGHT,,Rear right,Задний правый
BODY_STRUCTURE.DISCRIMINATOR.FIRSTLEFT,,First left,
BODY_STRUCTURE.DISCRIMINATOR.FIRSTRIGHT,,First right,
BODY_STRUCTURE.DISCRIMINATOR.FOURTHLEFT,,Fourth left,
BODY_STRUCTURE.DISCRIMINATOR.FOURTHRIGHT,,Fourth right,
BODY_STRUCTURE.DISCRIMINATOR.FRONTLEFT,,Front left,
BODY_STRUCTURE.DISCRIMINATOR.FRONTRIGHT,,Front right,Передний правый
BODY_STRUCTURE.DISCRIMINATOR.LEFT,,Left,Лево
BODY_STRUCTURE.DISCRIMINATOR.RIGHT,,Right,Право
BODY_STRUCTURE.DISCRIMINATOR.SECONDLEFT,,Second left,
BODY_STRUCTURE.DISCRIMINATOR.SECONDRIGHT,,Second right,
BODY_STRUCTURE.DISCRIMINATOR.THIRDLEFT,,Third left,
BODY_STRUCTURE.DISCRIMINATOR.THIRDRIGHT,,Third right,
BODY_STRUCTURE.FOOT,,Foot,Ступня
BODY_STRUCTURE.HAND,,Hand,Рука
BODY_STRUCTURE.HEAD,,Head,Голова
BODY_STRUCTURE.HOOF,,Hoof,Копыто
BODY_STRUCTURE.LEFT-ARM,,Left arm,
BODY_STRUCTURE.LEFT-HAND,,Left hand,
BODY_STRUCTURE.LEG,,Leg,Нога
BODY_STRUCTURE.ORGAN.BRAIN,,Brain,Мозг
BODY_STRUCTURE.ORGAN.EYE,,Eye,Глаз
BODY_STRUCTURE.ORGAN.HEART,,Heart,Сердце
BODY_STRUCTURE.ORGAN.INTESTINES,,Intestines,Кишечник
BODY_STRUCTURE.ORGAN.KIDNEY,,Kidney,Почка
BODY_STRUCTURE.ORGAN.LUNG,,Lung,Печень
BODY_STRUCTURE.ORGAN_DAMAGE.DESTROYED,,Destroyed,Уничтожен
BODY_STRUCTURE.ORGAN_DAMAGE.HEAVY,,Heavy damage to,Серьезное повреждение
BODY_STRUCTURE.ORGAN_DAMAGE.LIGHT,,Light damage to,Легкое повреждение
BODY_STRUCTURE.PAW,,Paw,Лапа
BODY_STRUCTURE.RIGHT-ARM,,Right arm,
BODY_STRUCTURE.RIGHT-HAND,,Right hand,
BODY_STRUCTURE.TORSO,,Chest,Грудь
BODY_STRUCTURE.TRUNK,,Trunk,

BONE.BONE,,Bone,Кость

CARCASS.CARP.PREPARED.NOUN,,Carp fillet,Филе карпа
CARCASS.CARP.PREPARED.PLURAL,,Carp fillets,Филе карпа
CARCASS.GROUP,,Corpses,Трупы
CARCASS.HIDE.NOUN,,Hide,
CARCASS.HIDE.PLURAL,,Hides,
CARCASS.MEAT.LARGE,,Meat (large),Большой кусок мяса
CARCASS.MEAT.MEDIUM,,Meat (medium),Средний кусок мяса
CARCASS.MEAT.SMALL,,Meat (small),Маленький кусок мяса
CARCASS.PERCH.PREPARED.NOUN,,Perch fillet,Филе окуня
CARCASS.PERCH.PREPARED.PLURAL,,Perch fillets,Филе окуня
CARCASS.PIKE.PREPARED.NOUN,,Pike fillet,Филе щуки
CARCASS.PIKE.PREPARED.PLURAL,,Pike fillets,Филе щуки

CLOTH.BRONZED_HEMP,,Hemp,Пенька
CLOTH.HEMP-LINEN,,Hemp,Пенька
CLOTH.LIGHT_HEMP,,Hemp,Пенька
CLOTH.TOBACCO_CLOTH,,Tobacco cloth,Табачная ткань

COMBAT.DESCRIPTION.FLEEING,,Fleeing from combat,
COMBAT.DESCRIPTION.GENERIC,,In combat,
COMBAT.DESCRIPTION.VERSUS_OPPONENT,,In combat with {{targetDescription}},

CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},Строительство: {{furnitureType.noun}} {{materialType.adjective}}
CONSTRUCTION.REQUIREMENT_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{numRequired}} required{{\n}}{{numAvailable}} available{{\n}}{{numAssigned}} assigned,
