KEY,NOTES,ENGLISH,SPANISH

ACTION.DRINK_FROM_RIVER,,from river,del río
ACTION.JOB.BUTCHER_CREATURE,,Butchering,Despiezando
ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},Quitando {{plantDescription}}
ACTION.JOB.CONSTRUCT_FLOORING,,Laying floor,Poniendo suelo
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.CONSTRUCT_MECHANISM,,Placing mechanisms,Colocando mecanismos
ACTION.JOB.CONSTRUCT_PIPING,,Placing pipe,Colocando tuberías
ACTION.JOB.CONSTRUCT_ROOFING,,Constructing roof,Construyendo tejado
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},Produciendo {{targetDescription}}
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},Quitando {{targetDescription}}
ACTION.JOB.DECONSTRUCT_MECHANISM,,Removing mechanism,Quitando mecanismo
ACTION.JOB.DECONSTRUCT_PIPING,,Removing pipe,Quitando tuberías
ACTION.JOB.DECONSTRUCT_ROOFING,,Removing roof,Quitando el tejado
ACTION.JOB.DIGGING,,Digging {{targetDescription}},Excavando {{targetDescription}}
ACTION.JOB.DUMP_LIQUID_FROM_CONTAINER,For emptying the liquid contents out of a container,Emptying out contents of {{targetDescription}},Vaciando {{targetDescription}}
ACTION.JOB.EXTINGUISH_FLAMES,,Putting out a fire,Apagando incendio
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},Rellenando {{targetDescription}}
ACTION.JOB.FISHING,,Fishing,Pescando
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},Cosechando {{targetPlant}}
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,Inyectando germen de hongos
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}},Plantando {{requiredItem}}
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},Eliminando plagas de {{targetPlant}}
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},Paleando {{targetDescription}}
ACTION.JOB.TILLING,,Tilling the earth,Labrando la tierra
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},Rellenando {{targetDescription}}
ACTION.KNOCKED_UNCONSCIOUS,,Knocked unconscious,Incosciente
ACTION.MALTING.VERB,,Malting,Malteando
ACTION.PREPARATION.VERB,,Preparing,Preparando
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,Buscando qué hacer
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},Durmiendo sobre {{tileDescription}}
ACTION.STUNNED,,Stunned,Aturdido

ARMOUR.LEATHER,,Leather armour,Armadura de cuero
ARMOUR.LEATHER.TOOLTIP,,A light and basic armour to protect you in combat,Una armadura básica y ligera para protegerte en el combate
ARMOUR.ORC.HEAVY,,Orc armour,Armadura orca
ARMOUR.ORC.LIGHT,,Leather orc armour,Armadura orca de cuero
ARMOUR.PLATE,,Plate armour,Armadura de placas
ARMOUR.PLATE.TOOLTIP,,Thick and sturdy armour which offers a lot of protection in combat,Armadura gruesa y resistente que ofrece mucha protección en el combate

ASHES.NOUN,,Ash,Cenizas

BODY_STRUCTURE.ABDOMEN,,Abdomen,Abdomen
BODY_STRUCTURE.ARM,,Arm,Brazo
BODY_STRUCTURE.CEPHALOTHORAX,,Cephalothorax,Cefalotórax
BODY_STRUCTURE.DAMAGE.BLEEDING,,Bleeding,Sangrando
BODY_STRUCTURE.DAMAGE.BROKENBONES,,Broken,Roto
BODY_STRUCTURE.DAMAGE.BRUISED,,Bruised,Magullado
BODY_STRUCTURE.DAMAGE.DESTROYED,,Destroyed,Destruido
BODY_STRUCTURE.DAMAGE.NOT_INJURED,,Not Injured,Ileso
BODY_STRUCTURE.DISCRIMINATOR.BACKLEFT,,Rear left,Trasera izquierda
BODY_STRUCTURE.DISCRIMINATOR.BACKRIGHT,,Rear right,Trasera derecha
BODY_STRUCTURE.DISCRIMINATOR.FIRSTLEFT,,First left,Primera izquierda
BODY_STRUCTURE.DISCRIMINATOR.FIRSTRIGHT,,First right,Primera derecha
BODY_STRUCTURE.DISCRIMINATOR.FOURTHLEFT,,Fourth left,Cuarta izquierda
BODY_STRUCTURE.DISCRIMINATOR.FOURTHRIGHT,,Fourth right,Cuarta derecha
BODY_STRUCTURE.DISCRIMINATOR.FRONTLEFT,,Front left,Delantera izquierda
BODY_STRUCTURE.DISCRIMINATOR.FRONTRIGHT,,Front right,Delantera derecha
BODY_STRUCTURE.DISCRIMINATOR.LEFT,,Left,Izquierda
BODY_STRUCTURE.DISCRIMINATOR.RIGHT,,Right,Derecha
BODY_STRUCTURE.DISCRIMINATOR.SECONDLEFT,,Second left,Segunda izquierda
BODY_STRUCTURE.DISCRIMINATOR.SECONDRIGHT,,Second right,Segunda derecha
BODY_STRUCTURE.DISCRIMINATOR.THIRDLEFT,,Third left,Tercera izquierda
BODY_STRUCTURE.DISCRIMINATOR.THIRDRIGHT,,Third right,Tercera derecha
BODY_STRUCTURE.FOOT,,Foot,Pie
BODY_STRUCTURE.HAND,,Hand,Mano
BODY_STRUCTURE.HEAD,,Head,Cabeza
BODY_STRUCTURE.HOOF,,Hoof,Pezuña
BODY_STRUCTURE.LEFT-ARM,,Left arm,Brazo izquierdo
BODY_STRUCTURE.LEFT-HAND,,Left hand,Mano izquierda
BODY_STRUCTURE.LEG,,Leg,Pierna
BODY_STRUCTURE.ORGAN.BRAIN,,Brain,Cerebro
BODY_STRUCTURE.ORGAN.EYE,,Eye,Ojo
BODY_STRUCTURE.ORGAN.HEART,,Heart,Corazón
